Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
4:00:00 AM,10,Tuesday,82,7,3,10,102,low
4:30:00 AM,10,Tuesday,89,10,2,10,111,low
4:45:00 AM,10,Tuesday,77,3,0,18,98,low
7:45:00 AM,10,Tuesday,143,30,17,12,202,heavy
8:00:00 AM,10,Tuesday,134,18,21,11,184,heavy
8:15:00 AM,10,Tuesday,134,30,15,14,193,heavy
8:45:00 AM,10,Tuesday,139,12,22,13,186,heavy
9:15:00 AM,10,Tuesday,33,12,9,6,60,low
9:30:00 AM,10,Tuesday,69,9,26,9,113,high
9:45:00 AM,10,Tuesday,69,12,10,5,96,low
10:00:00 AM,10,Tuesday,55,11,9,17,92,low
10:30:00 AM,10,Tuesday,53,13,7,5,78,low
1:15:00 PM,10,Tuesday,73,15,3,17,108,low
2:15:00 PM,10,Tuesday,76,15,32,17,140,high
3:45:00 PM,10,Tuesday,150,21,10,14,195,heavy
4:00:00 PM,10,Tuesday,126,27,40,19,212,heavy
4:15:00 PM,10,Tuesday,144,7,35,17,203,heavy
4:30:00 PM,10,Tuesday,145,13,12,18,188,heavy
4:45:00 PM,10,Tuesday,121,29,27,15,192,heavy
5:00:00 PM,10,Tuesday,150,21,37,19,227,heavy
5:30:00 PM,10,Tuesday,129,20,35,18,202,heavy
5:45:00 PM,10,Tuesday,114,7,39,19,179,heavy
6:00:00 PM,10,Tuesday,109,10,26,17,162,high
7:00:00 PM,10,Tuesday,107,2,15,35,159,high
8:45:00 PM,10,Tuesday,78,6,16,35,135,high
9:00:00 PM,10,Tuesday,70,20,10,33,133,high
4:00:00 AM,11,Wednesday,72,7,2,14,95,low
4:45:00 AM,11,Wednesday,73,6,6,15,100,low
5:00:00 AM,11,Wednesday,57,0,0,15,72,low
5:30:00 AM,11,Wednesday,54,6,3,18,81,low
6:30:00 AM,11,Wednesday,135,13,18,6,172,heavy
7:30:00 AM,11,Wednesday,134,20,24,8,186,heavy
7:45:00 AM,11,Wednesday,120,26,17,8,171,heavy
8:00:00 AM,11,Wednesday,142,19,16,5,182,heavy
8:15:00 AM,11,Wednesday,121,28,20,15,184,heavy
8:45:00 AM,11,Wednesday,140,15,14,12,181,heavy
9:00:00 AM,11,Wednesday,68,12,29,12,121,high
9:15:00 AM,11,Wednesday,56,7,14,15,92,low
2:15:00 PM,11,Wednesday,88,14,32,26,160,high
3:15:00 PM,11,Wednesday,61,11,27,22,121,high
4:00:00 PM,11,Wednesday,110,9,37,13,169,heavy
4:15:00 PM,11,Wednesday,116,12,39,12,179,heavy
4:30:00 PM,11,Wednesday,100,27,39,13,179,heavy
4:45:00 PM,11,Wednesday,118,11,28,11,168,heavy
5:00:00 PM,11,Wednesday,137,14,13,13,177,heavy
5:15:00 PM,11,Wednesday,130,23,14,18,185,heavy
5:30:00 PM,11,Wednesday,146,13,10,18,187,heavy
6:15:00 PM,11,Wednesday,114,24,31,10,179,heavy
7:15:00 PM,11,Wednesday,72,1,9,32,114,high
7:30:00 PM,11,Wednesday,92,20,11,31,154,high
8:45:00 PM,11,Wednesday,62,7,7,13,89,low
9:30:00 PM,11,Wednesday,62,1,5,10,78,low
4:15:00 AM,12,Thursday,57,9,0,15,81,low
4:30:00 AM,12,Thursday,61,5,0,11,77,low
5:00:00 AM,12,Thursday,59,8,5,18,90,low
5:30:00 AM,12,Thursday,72,3,5,10,90,low
6:00:00 AM,12,Thursday,132,16,23,9,180,heavy
6:30:00 AM,12,Thursday,117,18,22,12,169,heavy
6:45:00 AM,12,Thursday,149,15,10,15,189,heavy
7:30:00 AM,12,Thursday,140,14,12,12,178,heavy
8:00:00 AM,12,Thursday,146,17,20,6,189,heavy
8:15:00 AM,12,Thursday,148,16,25,6,195,heavy
8:30:00 AM,12,Thursday,125,21,22,11,179,heavy
9:15:00 AM,12,Thursday,56,12,30,16,114,high
9:45:00 AM,12,Thursday,52,8,5,12,77,low
10:30:00 AM,12,Thursday,76,6,8,14,104,low
11:45:00 AM,12,Thursday,64,9,8,34,115,high
1:00:00 PM,12,Thursday,47,13,0,18,78,low
3:00:00 PM,12,Thursday,96,20,28,14,158,high
3:45:00 PM,12,Thursday,133,6,21,15,175,heavy
4:00:00 PM,12,Thursday,128,11,38,14,191,heavy
4:15:00 PM,12,Thursday,123,27,34,13,197,heavy
4:30:00 PM,12,Thursday,129,23,17,16,185,heavy
4:45:00 PM,12,Thursday,104,22,40,11,177,heavy
5:00:00 PM,12,Thursday,128,9,19,14,170,heavy
5:15:00 PM,12,Thursday,130,10,38,11,189,heavy
5:30:00 PM,12,Thursday,146,14,35,15,210,heavy
5:45:00 PM,12,Thursday,120,22,32,17,191,heavy
6:00:00 PM,12,Thursday,102,25,31,14,172,heavy
7:45:00 PM,12,Thursday,59,5,6,11,81,low
8:45:00 PM,12,Thursday,53,14,19,33,119,high
4:15:00 AM,13,Friday,52,5,2,54,113,high
4:30:00 AM,13,Friday,64,7,3,59,133,high
5:00:00 AM,13,Friday,79,2,2,48,131,high
5:45:00 AM,13,Friday,72,5,3,57,137,high
6:15:00 AM,13,Friday,58,10,1,58,127,high
7:45:00 AM,13,Friday,77,0,3,44,124,high
8:00:00 AM,13,Friday,65,10,1,52,128,high
8:15:00 AM,13,Friday,65,6,3,55,129,high
8:30:00 AM,13,Friday,78,6,2,35,121,high
9:00:00 AM,13,Friday,144,42,11,7,204,heavy
9:15:00 AM,13,Friday,125,29,19,6,179,heavy
9:30:00 AM,13,Friday,114,50,6,8,178,heavy
9:45:00 AM,13,Friday,136,24,20,6,186,heavy
10:00:00 AM,13,Friday,114,37,19,7,177,heavy
10:15:00 AM,13,Friday,141,50,16,5,212,heavy
10:30:00 AM,13,Friday,117,50,20,10,197,heavy
11:00:00 AM,13,Friday,131,39,5,5,180,heavy
11:45:00 AM,13,Friday,146,24,13,6,189,heavy
12:00:00 PM,13,Friday,134,26,14,6,180,heavy
12:15:00 PM,13,Friday,111,46,19,8,184,heavy
12:30:00 PM,13,Friday,106,37,19,8,170,heavy
12:45:00 PM,13,Friday,128,36,12,9,185,heavy
1:15:00 PM,13,Friday,142,21,7,9,179,heavy
2:00:00 PM,13,Friday,139,47,7,8,201,heavy
2:15:00 PM,13,Friday,127,28,20,10,185,heavy
2:30:00 PM,13,Friday,126,39,13,7,185,heavy
3:00:00 PM,13,Friday,66,5,5,17,93,low
3:30:00 PM,13,Friday,50,6,15,9,80,low
3:45:00 PM,13,Friday,50,13,1,11,75,low
4:30:00 PM,13,Friday,80,7,0,9,96,low
4:45:00 PM,13,Friday,71,5,10,5,91,low
5:00:00 PM,13,Friday,83,11,2,12,108,low
5:15:00 PM,13,Friday,54,5,6,10,75,low
5:30:00 PM,13,Friday,55,6,4,10,75,low
5:45:00 PM,13,Friday,56,15,14,5,90,low
6:00:00 PM,13,Friday,71,8,13,12,104,low
6:15:00 PM,13,Friday,59,5,13,18,95,low
6:30:00 PM,13,Friday,62,14,4,10,90,low
4:15:00 AM,14,Saturday,74,10,1,10,95,low
5:45:00 AM,14,Saturday,134,12,20,5,171,heavy
6:15:00 AM,14,Saturday,132,10,20,13,175,heavy
7:15:00 AM,14,Saturday,141,16,25,10,192,heavy
7:30:00 AM,14,Saturday,108,29,23,11,171,heavy
7:45:00 AM,14,Saturday,147,27,25,7,206,heavy
8:15:00 AM,14,Saturday,141,30,19,7,197,heavy
8:30:00 AM,14,Saturday,118,23,19,15,175,heavy
9:30:00 AM,14,Saturday,71,15,7,10,103,low
9:45:00 AM,14,Saturday,58,5,5,7,75,low
