Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
10,2,31,0,4,4,39,1
10,2,49,0,3,3,55,1
10,2,46,0,3,6,55,1
10,2,51,0,2,5,58,1
10,2,57,6,15,16,94,2
10,2,44,0,5,4,53,1
10,2,37,0,1,4,42,1
10,2,42,4,4,5,55,1
10,2,51,0,9,7,67,1
10,2,34,0,4,7,45,1
10,2,45,0,1,1,47,1
10,2,45,0,1,3,49,1
10,2,50,0,3,0,53,1
10,2,34,0,4,4,42,1
10,2,129,22,42,1,194,4
10,2,144,16,49,0,209,4
10,2,111,28,20,3,162,2
10,2,67,11,10,16,104,2
10,2,65,24,7,16,112,2
10,2,94,27,7,16,144,2
10,2,94,20,8,7,129,2
10,2,67,29,5,10,111,1
10,2,56,12,2,14,84,2
10,2,57,13,3,11,84,1
10,2,129,22,42,1,194,4
10,2,144,16,49,0,209,4
10,2,111,28,20,3,162,2
10,2,120,27,46,3,196,4
10,2,102,39,47,1,189,4
10,2,145,23,27,0,195,4
10,2,114,37,21,5,177,4
10,2,108,18,22,1,149,2
10,2,122,28,33,1,184,4
10,2,114,39,30,3,186,4
10,2,150,36,25,1,212,4
10,2,107,10,49,2,168,4
10,2,124,24,22,0,170,4
10,2,77,16,39,29,161,3
10,2,15,23,30,21,89,2
10,2,32,22,38,21,113,3
10,2,68,13,29,24,134,3
10,2,27,16,36,30,109,2
10,2,76,7,11,15,109,2
10,2,41,23,20,17,101,2
10,2,33,10,3,29,75,2
10,2,58,8,14,29,109,2
10,2,65,7,11,26,109,2
10,2,47,9,6,29,91,2
10,2,38,10,5,25,78,2
10,2,57,8,12,29,106,2
10,2,20,6,4,20,50,2
10,2,24,9,14,23,70,2
10,2,52,10,13,21,96,2
10,2,79,15,36,18,148,3
10,2,84,24,22,18,148,2
10,2,59,19,35,16,129,3
10,2,88,26,31,19,164,3
10,2,24,11,32,13,80,2
10,2,110,17,23,20,170,4
10,2,29,26,5,6,66,1
10,2,43,26,11,20,100,2
10,2,68,28,9,15,120,2
10,2,108,16,8,18,150,2
10,2,101,26,8,14,149,2
10,2,141,31,36,6,214,4
10,2,120,25,28,5,178,4
10,2,137,23,44,5,209,4
10,2,124,11,30,7,172,4
10,2,145,25,49,7,226,4
10,2,122,37,23,8,190,4
10,2,136,30,20,9,195,4
10,2,145,18,40,9,212,4
10,2,138,34,28,5,205,4
10,2,123,10,29,8,170,4
10,2,105,15,21,9,150,2
10,2,75,22,20,11,128,2
10,2,90,12,10,13,125,2
10,2,102,22,20,16,160,2
10,2,61,18,15,27,121,3
10,2,70,8,14,6,98,1
10,2,80,17,12,34,143,3
10,2,62,12,14,19,107,2
10,2,96,5,11,13,125,2
10,2,102,6,12,13,133,2
10,2,91,14,15,6,126,2
10,2,95,8,17,13,133,2
10,2,75,15,12,21,123,3
10,2,53,21,20,10,104,2
10,2,13,1,0,19,33,2
10,2,10,0,1,24,35,2
10,2,16,2,0,33,51,2
10,2,11,1,0,29,41,2
10,2,18,2,1,13,34,2
10,2,15,0,1,11,27,1
10,2,14,1,0,33,48,2
10,2,17,2,0,22,41,2
11,3,12,2,1,17,32,2
11,3,18,0,0,29,47,2
11,3,16,1,0,14,31,2
11,3,20,0,0,14,34,2
11,3,20,1,1,30,52,2
11,3,15,0,1,23,39,2
11,3,16,0,1,26,43,2
11,3,18,4,0,11,33,1
11,3,17,3,1,36,57,2
11,3,14,4,1,10,29,1
11,3,18,2,1,25,46,2
11,3,12,2,0,19,33,2
11,3,11,4,0,30,45,2
11,3,19,1,1,36,57,2
11,3,10,4,0,36,50,2
11,3,20,1,1,32,54,2
11,3,15,5,1,40,61,2
11,3,104,6,5,1,116,2
11,3,109,25,3,8,145,2
11,3,82,23,8,20,133,2
11,3,81,25,1,18,125,2
11,3,95,16,10,1,122,2
11,3,91,24,7,6,128,2
11,3,81,30,10,0,121,2
11,3,125,13,26,2,166,3
11,3,125,39,49,3,216,4
11,3,125,34,37,1,197,4
11,3,125,19,25,4,173,4
11,3,125,15,49,0,189,4
11,3,125,32,50,5,212,4
11,3,125,38,50,1,214,4
11,3,125,29,29,3,186,4
11,3,125,31,48,4,208,4
11,3,125,32,50,0,207,4
11,3,125,31,45,0,201,4
11,3,125,21,20,1,167,2
11,3,125,28,36,0,189,4
11,3,39,10,37,16,102,2
11,3,89,8,12,13,122,2
11,3,51,16,16,13,96,2
11,3,17,9,18,28,72,2
11,3,48,25,36,21,130,3
11,3,93,7,30,16,146,3
11,3,55,15,36,15,121,3
11,3,51,10,8,22,91,2
11,3,51,7,3,24,85,2
11,3,51,9,7,30,97,2
11,3,51,7,14,20,92,2
11,3,51,10,14,20,95,2
11,3,51,10,6,22,89,2
11,3,51,8,11,22,92,2
11,3,51,6,10,26,93,2
11,3,51,7,7,27,92,2
11,3,104,17,25,20,166,2
11,3,6,28,27,14,75,2
11,3,54,29,37,9,129,3
11,3,43,13,30,20,106,2
11,3,60,21,26,11,118,3
11,3,101,23,8,20,152,2
11,3,62,26,19,11,118,2
11,3,39,24,13,11,87,1
11,3,90,20,35,7,152,3
11,3,109,30,22,20,181,4
11,3,68,26,25,20,139,2
11,3,142,22,37,6,207,4
11,3,113,14,20,5,152,2
11,3,142,13,37,8,200,4
11,3,108,23,26,9,166,3
11,3,122,29,30,7,188,4
11,3,133,12,30,7,182,4
11,3,118,23,38,10,189,4
11,3,121,35,26,8,190,4
11,3,116,23,20,8,167,2
11,3,132,12,27,8,179,4
11,3,144,17,33,7,201,4
11,3,103,21,11,11,146,2
11,3,107,15,10,15,147,2
11,3,50,10,10,17,87,2
11,3,108,15,10,6,139,2
11,3,108,24,15,29,176,4
11,3,101,6,15,13,135,2
11,3,55,17,12,19,103,2
11,3,77,7,20,16,120,2
11,3,91,12,19,8,130,2
11,3,95,25,17,29,166,3
11,3,78,17,17,27,139,3
11,3,98,16,16,21,151,3
11,3,86,13,11,35,145,3
11,3,18,4,0,16,38,2
11,3,18,5,0,12,35,1
11,3,18,2,1,25,46,2
11,3,18,1,0,17,36,2
11,3,18,5,0,21,44,2
11,3,18,0,1,12,31,1
11,3,18,3,1,28,50,2
11,3,18,4,1,40,63,2
12,4,18,1,1,39,59,2
12,4,18,4,0,30,52,2
12,4,18,5,1,13,37,2
12,4,18,2,0,37,57,2
12,4,18,0,0,13,31,2
12,4,18,5,0,11,34,1
12,4,18,5,1,12,36,1
12,4,18,1,1,16,36,2
12,4,18,1,1,34,54,2
12,4,18,1,0,24,43,2
12,4,18,0,0,23,41,2
12,4,18,0,0,27,45,2
12,4,18,5,0,28,51,2
12,4,18,1,0,14,33,2
12,4,18,5,0,25,48,2
12,4,18,4,1,30,53,2
12,4,18,5,1,30,54,2
12,4,62,24,7,2,95,1
12,4,51,23,6,1,81,1
12,4,114,23,10,19,166,2
12,4,85,22,9,9,125,2
12,4,102,24,4,20,150,2
12,4,101,18,3,17,139,2
12,4,116,19,0,17,152,2
12,4,117,38,50,5,210,4
12,4,114,32,34,2,182,4
12,4,120,17,23,1,161,2
12,4,145,20,25,2,192,4
12,4,125,30,48,1,204,4
12,4,103,27,45,1,176,4
12,4,114,20,43,1,178,4
12,4,145,10,44,1,200,4
12,4,147,31,20,4,202,4
12,4,104,24,40,0,168,4
12,4,124,11,22,0,157,2
12,4,101,37,31,4,173,4
12,4,144,30,37,1,212,4
12,4,24,18,37,18,97,2
12,4,24,8,17,25,74,2
12,4,16,22,12,20,70,2
12,4,26,2,39,26,93,2
12,4,90,7,18,15,130,2
12,4,59,6,11,11,87,1
12,4,28,7,22,18,75,2
12,4,60,5,14,21,100,2
12,4,69,9,8,23,109,2
12,4,59,9,12,26,106,2
12,4,24,10,5,21,60,2
12,4,41,7,7,21,76,2
12,4,48,10,9,29,96,2
12,4,59,10,14,23,106,2
12,4,67,7,12,28,114,3
