is_holiday,air_pollution_index,temperature,rain_p_h,visibility_in_miles,time_of_day,traffic_condition
0,103.5,31.6,27.5,8.2,1,0
0,88.0,25.9,45.8,7.4,1,0
1,132.1,33.4,18.9,5.3,0,0
0,73.7,37.6,26.3,9.6,1,0
1,69.4,32.1,1.6,5.1,1,0
1,54.0,39.4,30.1,7.4,1,0
1,133.4,38.5,39.1,9.3,1,0
0,27.3,32.9,33.1,5.0,0,0
1,149.7,38.1,34.7,5.7,0,0
0,45.9,35.1,6.3,6.6,1,0
0,141.3,15.4,47.9,5.0,0,0
1,112.8,29.3,22.0,5.6,1,0
0,76.8,34.3,34.6,6.5,1,0
1,82.5,19.8,32.3,5.0,0,0
1,74.0,22.1,9.4,10.0,1,0
1,78.3,28.1,5.3,9.5,0,0
0,28.7,36.3,11.5,7.8,0,0
1,25.9,29.9,46.2,5.0,0,0
0,149.5,33.1,45.6,9.4,1,0
0,144.1,28.8,40.9,5.0,0,0
0,148.2,18.8,10.8,9.4,0,0
1,72.7,17.0,18.7,7.9,1,0
1,74.8,32.5,44.9,5.0,0,0
0,95.0,37.3,30.3,5.0,0,0
1,127.0,19.1,48.7,5.0,0,0
0,78.8,31.3,31.8,5.0,1,0
1,100.0,16.4,5.8,5.6,0,0
1,41.6,38.6,10.6,5.0,1,0
1,103.8,16.5,19.6,5.0,0,0
1,33.0,38.3,38.2,10.0,0,0
1,57.5,18.3,34.4,5.0,1,0
0,49.5,23.7,8.0,9.6,1,0
0,42.5,36.4,37.7,5.0,0,0
0,134.4,31.4,32.1,7.2,0,0
1,88.8,33.9,7.0,9.5,1,0
1,103.2,21.2,23.5,7.8,0,0
0,114.9,18.3,21.3,5.0,0,0
1,142.7,33.2,10.3,5.0,1,0
0,110.2,32.9,16.6,7.5,0,0
0,106.5,15.3,4.0,5.2,0,0
1,149.0,25.1,35.3,6.1,0,0
0,66.5,30.0,38.8,5.0,1,0
1,60.5,31.8,46.8,6.1,0,0
1,69.5,34.1,31.5,5.0,0,0
1,59.9,30.1,39.4,5.0,1,0
0,103.0,22.3,26.4,7.0,0,0
1,134.8,15.6,9.8,9.8,1,0
0,79.6,33.5,6.7,5.0,1,0
0,28.8,27.4,48.4,9.0,0,0
1,55.0,28.8,49.4,5.0,0,0
0,134.4,18.4,37.4,5.0,0,0
1,52.0,34.8,6.3,5.0,0,0
1,83.5,25.5,2.4,8.4,1,0
0,94.2,17.1,23.6,5.0,0,0
0,25.4,32.9,6.0,9.5,0,0
1,113.1,16.8,3.6,5.0,0,0
1,65.3,27.7,7.5,5.0,1,0
0,131.2,38.4,20.9,5.0,1,0
1,76.5,37.8,4.5,5.4,0,0
0,76.3,20.6,18.3,5.0,1,0
1,134.8,26.2,37.1,9.4,0,0
0,73.6,34.2,25.3,8.3,1,0
1,137.8,26.6,29.8,5.1,1,0
0,119.5,37.2,43.8,5.9,1,0
1,110.2,26.2,14.2,6.2,1,0
1,29.6,15.7,29.8,5.4,0,0
1,108.5,21.1,20.3,7.2,0,0
1,67.0,29.5,20.6,6.5,1,0
1,81.1,24.7,41.3,5.0,0,0
0,137.6,19.5,48.0,6.5,0,0
1,41.0,34.4,42.8,5.0,0,0
1,104.1,38.3,30.2,5.0,0,0
0,121.8,28.9,49.6,7.5,0,0
1,69.1,18.7,41.4,5.0,0,0
0,117.8,15.6,38.2,8.1,1,0
0,114.2,26.1,24.2,7.0,0,0
